5LMYJ8XY6L,Port Orchard,2020,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,259776653,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,,,,
5YJ3E1EB2J,Burien,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,474264997,POINT (-122.36178 47.49408),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),,,,
5YJ3E1EB6J,Kent,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,237884993,POINT (-122.09124 47.33778),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),,,,
WMEFJ9BAXH,Kirkland,2017,SMART,FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,133639404,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),,,,
WA1AAAGE9M,Port Orchard,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,222,156660507,POINT (-122.70348 47.52028),PUGET SOUND ENERGY INC,,,,
5YJSA1E45K,Bothell,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,249931048,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,,,,
5YJ3E1EB8J,Freeland,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,442535320,POINT (-122.52664 48.00956),PUGET SOUND ENERGY INC,,,,
JTJHKCFZ3S,Port Orchard,2025,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,276482545,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,,,,
5YJSA1E20G,Yakima,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,196516400,POINT (-120.50729 46.60464),PACIFICORP,,,,
5YJ3E1EA4K,Seattle,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,259990475,POINT (-122.35029 47.71871),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),,,,
5YJ3E1EC1L,Bainbridge Island,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,195702293,POINT (-122.521 47.62732),PUGET SOUND ENERGY INC,,,,
5YJ3E1EB2L,Everett,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,218203443,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,,,,
5YJSA1CN8D,Mukilteo,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,158250690,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,,,,
1N4CZ1CV4P,Lacey,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,231018504,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,,,,
KNDPYDDH1S,Lynnwood,2025,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,278025401,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,,,,
KNDCC3LGXK,Burien,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,3523768,POINT (-122.36178 47.49408),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),,,,
